entity_id,state,last_changed
sensor.fteg,138.86,2024-12-13T17:41:53.406Z
sensor.fteg,135.18,2024-12-13T17:41:54.843Z
sensor.fteg,126.75,2024-12-13T17:41:55.895Z
sensor.fteg,116.33,2024-12-13T17:41:56.657Z
sensor.fteg,114.21,2024-12-13T17:41:58.099Z
sensor.fteg,111.84,2024-12-13T17:41:58.570Z
sensor.fteg,107.90,2024-12-13T17:41:59.913Z
sensor.fteg,101.60,2024-12-13T17:42:01.517Z
sensor.fteg,97.23,2024-12-13T17:42:01.989Z
sensor.fteg,95.80,2024-12-13T17:42:03.057Z
sensor.fteg,88.62,2024-12-13T17:42:03.927Z
sensor.fteg,81.94,2024-12-13T17:42:05.232Z
sensor.fteg,78.82,2024-12-13T17:42:06.558Z
sensor.fteg,80.13,2024-12-13T17:42:07.287Z
sensor.fteg,83.07,2024-12-13T17:42:08.255Z
sensor.fteg,80.69,2024-12-13T17:42:10.037Z
sensor.fteg,81.13,2024-12-13T17:42:10.570Z
sensor.fteg,82.25,2024-12-13T17:42:11.773Z
sensor.fteg,75.02,2024-12-13T17:42:12.448Z
sensor.fteg,84.88,2024-12-13T17:42:13.526Z
sensor.fteg,89.74,2024-12-13T17:42:15.100Z
sensor.fteg,74.33,2024-12-13T17:42:15.685Z
sensor.fteg,62.66,2024-12-13T17:42:16.928Z
sensor.fteg,48.37,2024-12-13T17:42:17.935Z
sensor.fteg,45.68,2024-12-13T17:42:19.000Z
sensor.fteg,29.21,2024-12-13T17:42:20.353Z
sensor.fteg,25.77,2024-12-13T17:42:21.804Z
sensor.fteg,13.04,2024-12-13T17:42:22.756Z
sensor.fteg,10.42,2024-12-13T17:42:23.734Z
sensor.fteg,12.73,2024-12-13T17:42:24.810Z
sensor.fteg,20.66,2024-12-13T17:42:25.281Z
sensor.fteg,44.12,2024-12-13T17:42:26.731Z
sensor.fteg,58.04,2024-12-13T17:42:27.404Z
sensor.fteg,85.56,2024-12-13T17:42:28.487Z
sensor.fteg,108.47,2024-12-13T17:42:30.003Z
sensor.fteg,134.30,2024-12-13T17:42:30.825Z
sensor.fteg,138.17,2024-12-13T17:42:31.717Z
sensor.fteg,155.21,2024-12-13T17:42:33.314Z
sensor.fteg,164.51,2024-12-13T17:42:34.875Z
sensor.fteg,172.25,2024-12-13T17:42:35.128Z
sensor.fteg,175.62,2024-12-13T17:42:36.010Z
sensor.fteg,175.81,2024-12-13T17:42:37.796Z
sensor.fteg,180.61,2024-12-13T17:42:38.728Z
sensor.fteg,180.42,2024-12-13T17:42:39.163Z
sensor.fteg,181.36,2024-12-13T17:42:40.448Z
sensor.fteg,182.36,2024-12-13T17:42:41.627Z
sensor.fteg,180.36,2024-12-13T17:42:42.570Z
sensor.fteg,176.12,2024-12-13T17:42:43.562Z
sensor.fteg,175.06,2024-12-13T17:42:44.522Z
sensor.fteg,168.69,2024-12-13T17:42:45.809Z
sensor.fteg,162.20,2024-12-13T17:42:46.936Z
sensor.fteg,155.15,2024-12-13T17:42:48.061Z
sensor.fteg,146.35,2024-12-13T17:42:48.807Z
sensor.fteg,135.86,2024-12-13T17:42:50.111Z
sensor.fteg,129.94,2024-12-13T17:42:50.925Z
sensor.fteg,123.26,2024-12-13T17:42:52.176Z
sensor.fteg,114.08,2024-12-13T17:42:53.186Z
sensor.fteg,106.41,2024-12-13T17:42:54.643Z
sensor.fteg,99.79,2024-12-13T17:42:55.215Z
sensor.fteg,95.17,2024-12-13T17:42:56.577Z
sensor.fteg,93.36,2024-12-13T17:42:57.465Z
sensor.fteg,89.12,2024-12-13T17:42:58.405Z
sensor.fteg,86.50,2024-12-13T17:42:59.761Z
sensor.fteg,86.75,2024-12-13T17:43:00.918Z
sensor.fteg,88.25,2024-12-13T17:43:01.606Z
sensor.fteg,83.19,2024-12-13T17:43:02.785Z
sensor.fteg,74.08,2024-12-13T17:43:03.771Z
sensor.fteg,78.01,2024-12-13T17:43:05.152Z
sensor.fteg,97.98,2024-12-13T17:43:06.087Z
sensor.fteg,110.65,2024-12-13T17:43:07.078Z
sensor.fteg,111.34,2024-12-13T17:43:08.039Z
sensor.fteg,109.15,2024-12-13T17:43:09.591Z
sensor.fteg,105.41,2024-12-13T17:43:10.161Z
sensor.fteg,99.48,2024-12-13T17:43:11.261Z
sensor.fteg,101.23,2024-12-13T17:43:12.599Z
sensor.fteg,99.92,2024-12-13T17:43:13.644Z
sensor.fteg,95.74,2024-12-13T17:43:14.461Z
sensor.fteg,88.37,2024-12-13T17:43:15.698Z
sensor.fteg,79.51,2024-12-13T17:43:16.962Z
sensor.fteg,69.77,2024-12-13T17:43:17.788Z
sensor.fteg,73.89,2024-12-13T17:43:18.730Z
sensor.fteg,72.21,2024-12-13T17:43:19.808Z
sensor.fteg,68.15,2024-12-13T17:43:21.091Z
sensor.fteg,63.34,2024-12-13T17:43:22.032Z
sensor.fteg,57.98,2024-12-13T17:43:23.475Z
sensor.fteg,53.98,2024-12-13T17:43:24.294Z
sensor.fteg,50.30,2024-12-13T17:43:25.330Z
sensor.fteg,42.94,2024-12-13T17:43:26.203Z
sensor.fteg,33.51,2024-12-13T17:43:27.404Z
sensor.fteg,31.64,2024-12-13T17:43:28.371Z
sensor.fteg,37.51,2024-12-13T17:43:29.717Z
sensor.fteg,40.32,2024-12-13T17:43:30.537Z
sensor.fteg,45.93,2024-12-13T17:43:31.658Z
sensor.fteg,47.87,2024-12-13T17:43:32.699Z
sensor.fteg,48.30,2024-12-13T17:43:34.070Z
sensor.fteg,50.30,2024-12-13T17:43:34.772Z
sensor.fteg,53.48,2024-12-13T17:43:36.053Z
sensor.fteg,59.97,2024-12-13T17:43:37.840Z
sensor.fteg,66.28,2024-12-13T17:43:38.000Z
sensor.fteg,77.89,2024-12-13T17:43:39.244Z
sensor.fteg,86.25,2024-12-13T17:43:40.459Z
sensor.fteg,101.48,2024-12-13T17:43:41.186Z
sensor.fteg,117.02,2024-12-13T17:43:42.246Z
sensor.fteg,132.81,2024-12-13T17:43:43.752Z
sensor.fteg,148.84,2024-12-13T17:43:44.774Z
sensor.fteg,163.45,2024-12-13T17:43:45.446Z
sensor.fteg,167.19,2024-12-13T17:43:46.620Z
sensor.fteg,172.69,2024-12-13T17:43:47.652Z
sensor.fteg,189.16,2024-12-13T17:43:48.698Z
sensor.fteg,186.17,2024-12-13T17:43:49.891Z
sensor.fteg,190.47,2024-12-13T17:43:51.138Z
sensor.fteg,196.96,2024-12-13T17:43:51.929Z
sensor.fteg,191.97,2024-12-13T17:43:52.924Z
sensor.fteg,185.48,2024-12-13T17:43:54.002Z
sensor.fteg,179.49,2024-12-13T17:43:55.086Z
sensor.fteg,177.49,2024-12-13T17:43:56.148Z
sensor.fteg,168.50,2024-12-13T17:43:57.472Z
sensor.fteg,154.96,2024-12-13T17:43:58.309Z
sensor.fteg,150.09,2024-12-13T17:43:59.518Z
sensor.fteg,133.80,2024-12-13T17:44:00.776Z
sensor.fteg,129.50,2024-12-13T17:44:01.489Z
sensor.fteg,134.30,2024-12-13T17:44:02.824Z
sensor.fteg,143.54,2024-12-13T17:44:03.803Z
sensor.fteg,156.90,2024-12-13T17:44:04.690Z
sensor.fteg,168.19,2024-12-13T17:44:05.858Z
sensor.fteg,173.06,2024-12-13T17:44:06.886Z
sensor.fteg,180.24,2024-12-13T17:44:07.931Z
sensor.fteg,184.36,2024-12-13T17:44:09.176Z
sensor.fteg,180.24,2024-12-13T17:44:10.362Z
sensor.fteg,184.04,2024-12-13T17:44:11.194Z
sensor.fteg,184.73,2024-12-13T17:44:12.602Z
sensor.fteg,188.85,2024-12-13T17:44:13.652Z
sensor.fteg,198.15,2024-12-13T17:44:14.609Z
sensor.fteg,191.03,2024-12-13T17:44:15.913Z
sensor.fteg,185.04,2024-12-13T17:44:16.603Z
sensor.fteg,183.42,2024-12-13T17:44:17.547Z
sensor.fteg,180.11,2024-12-13T17:44:18.770Z
sensor.fteg,173.37,2024-12-13T17:44:19.818Z
sensor.fteg,174.25,2024-12-13T17:44:20.804Z
sensor.fteg,168.69,2024-12-13T17:44:21.837Z
sensor.fteg,167.69,2024-12-13T17:44:23.321Z
sensor.fteg,167.57,2024-12-13T17:44:24.083Z
sensor.fteg,161.89,2024-12-13T17:44:25.367Z
sensor.fteg,154.71,2024-12-13T17:44:26.418Z
sensor.fteg,148.84,2024-12-13T17:44:27.116Z
sensor.fteg,145.72,2024-12-13T17:44:28.214Z
sensor.fteg,137.36,2024-12-13T17:44:29.406Z
sensor.fteg,133.80,2024-12-13T17:44:30.450Z
sensor.fteg,129.56,2024-12-13T17:44:31.445Z
sensor.fteg,126.63,2024-12-13T17:44:32.813Z
sensor.fteg,124.32,2024-12-13T17:44:33.925Z
sensor.fteg,123.44,2024-12-13T17:44:34.604Z
sensor.fteg,129.00,2024-12-13T17:44:35.972Z
sensor.fteg,129.94,2024-12-13T17:44:37.015Z
sensor.fteg,130.62,2024-12-13T17:44:37.997Z
sensor.fteg,124.32,2024-12-13T17:44:38.890Z
sensor.fteg,121.63,2024-12-13T17:44:40.049Z
sensor.fteg,119.89,2024-12-13T17:44:41.083Z
sensor.fteg,110.09,2024-12-13T17:44:42.379Z
sensor.fteg,108.09,2024-12-13T17:44:43.163Z
sensor.fteg,116.27,2024-12-13T17:44:44.375Z
sensor.fteg,118.51,2024-12-13T17:44:45.372Z
sensor.fteg,126.25,2024-12-13T17:44:46.373Z
sensor.fteg,134.55,2024-12-13T17:44:47.734Z
sensor.fteg,145.10,2024-12-13T17:44:48.792Z
sensor.fteg,144.73,2024-12-13T17:44:49.689Z
sensor.fteg,154.65,2024-12-13T17:44:50.965Z
sensor.fteg,151.90,2024-12-13T17:44:51.968Z
sensor.fteg,152.28,2024-12-13T17:44:53.043Z
sensor.fteg,152.90,2024-12-13T17:44:54.121Z
sensor.fteg,148.84,2024-12-13T17:44:54.999Z
sensor.fteg,146.79,2024-12-13T17:44:56.125Z
sensor.fteg,149.72,2024-12-13T17:44:57.261Z
sensor.fteg,146.54,2024-12-13T17:44:58.287Z
sensor.fteg,148.22,2024-12-13T17:44:59.536Z
sensor.fteg,140.73,2024-12-13T17:45:00.576Z
sensor.fteg,131.25,2024-12-13T17:45:01.715Z
sensor.fteg,119.20,2024-12-13T17:45:02.607Z
sensor.fteg,109.09,2024-12-13T17:45:03.885Z
sensor.fteg,95.86,2024-12-13T17:45:04.658Z
sensor.fteg,91.55,2024-12-13T17:45:05.610Z
sensor.fteg,89.81,2024-12-13T17:45:06.893Z
sensor.fteg,93.68,2024-12-13T17:45:08.045Z
sensor.fteg,93.61,2024-12-13T17:45:08.806Z
sensor.fteg,89.31,2024-12-13T17:45:09.884Z
sensor.fteg,88.68,2024-12-13T17:45:11.282Z
sensor.fteg,94.30,2024-12-13T17:45:12.435Z
sensor.fteg,97.30,2024-12-13T17:45:13.084Z
sensor.fteg,98.17,2024-12-13T17:45:14.697Z
sensor.fteg,103.72,2024-12-13T17:45:15.293Z
sensor.fteg,110.59,2024-12-13T17:45:16.524Z
sensor.fteg,110.78,2024-12-13T17:45:17.555Z
sensor.fteg,107.53,2024-12-13T17:45:18.841Z
sensor.fteg,103.54,2024-12-13T17:45:19.561Z
sensor.fteg,99.85,2024-12-13T17:45:20.896Z
sensor.fteg,99.11,2024-12-13T17:45:21.941Z
sensor.fteg,96.48,2024-12-13T17:45:22.892Z
sensor.fteg,90.06,2024-12-13T17:45:23.876Z
sensor.fteg,85.06,2024-12-13T17:45:25.355Z
sensor.fteg,80.38,2024-12-13T17:45:26.120Z
sensor.fteg,74.39,2024-12-13T17:45:27.407Z
sensor.fteg,70.65,2024-12-13T17:45:28.319Z
sensor.fteg,67.09,2024-12-13T17:45:29.206Z
sensor.fteg,61.60,2024-12-13T17:45:30.197Z
sensor.fteg,58.85,2024-12-13T17:45:31.667Z
sensor.fteg,57.42,2024-12-13T17:45:32.332Z
sensor.fteg,55.36,2024-12-13T17:45:33.723Z
sensor.fteg,55.67,2024-12-13T17:45:34.762Z
sensor.fteg,54.86,2024-12-13T17:45:36.084Z
sensor.fteg,53.55,2024-12-13T17:45:37.073Z
sensor.fteg,51.99,2024-12-13T17:45:37.678Z
sensor.fteg,49.43,2024-12-13T17:45:38.840Z
sensor.fteg,45.31,2024-12-13T17:45:39.795Z
sensor.fteg,44.75,2024-12-13T17:45:41.175Z
sensor.fteg,41.06,2024-12-13T17:45:42.481Z
sensor.fteg,37.26,2024-12-13T17:45:43.602Z
sensor.fteg,39.88,2024-12-13T17:45:44.079Z
sensor.fteg,41.25,2024-12-13T17:45:45.161Z
sensor.fteg,42.13,2024-12-13T17:45:46.466Z
sensor.fteg,42.31,2024-12-13T17:45:47.447Z
sensor.fteg,43.25,2024-12-13T17:45:48.442Z
sensor.fteg,48.68,2024-12-13T17:45:49.452Z
sensor.fteg,52.86,2024-12-13T17:45:50.836Z
sensor.fteg,51.86,2024-12-13T17:45:51.609Z
sensor.fteg,57.23,2024-12-13T17:45:52.781Z
sensor.fteg,55.04,2024-12-13T17:45:53.764Z
sensor.fteg,53.11,2024-12-13T17:45:54.993Z
sensor.fteg,52.11,2024-12-13T17:45:55.885Z
sensor.fteg,53.67,2024-12-13T17:45:57.254Z
sensor.fteg,57.10,2024-12-13T17:45:58.150Z
sensor.fteg,63.16,2024-12-13T17:45:59.403Z
sensor.fteg,74.45,2024-12-13T17:46:00.566Z
sensor.fteg,80.26,2024-12-13T17:46:01.353Z
sensor.fteg,86.31,2024-12-13T17:46:02.403Z
sensor.fteg,77.64,2024-12-13T17:46:03.314Z
sensor.fteg,71.21,2024-12-13T17:46:04.449Z
sensor.fteg,73.33,2024-12-13T17:46:05.810Z
sensor.fteg,74.39,2024-12-13T17:46:06.803Z
sensor.fteg,36.57,2024-12-13T17:46:08.148Z
sensor.fteg,13.92,2024-12-13T17:46:08.938Z
sensor.fteg,16.41,2024-12-13T17:46:09.954Z
sensor.fteg,31.14,2024-12-13T17:46:10.985Z
sensor.fteg,42.13,2024-12-13T17:46:12.234Z
sensor.fteg,58.66,2024-12-13T17:46:13.247Z
sensor.fteg,59.16,2024-12-13T17:46:14.004Z
sensor.fteg,67.53,2024-12-13T17:46:15.293Z
sensor.fteg,69.65,2024-12-13T17:46:16.332Z
sensor.fteg,64.97,2024-12-13T17:46:17.326Z
sensor.fteg,56.79,2024-12-13T17:46:19.038Z
sensor.fteg,52.24,2024-12-13T17:46:19.362Z
sensor.fteg,42.38,2024-12-13T17:46:20.612Z
sensor.fteg,37.57,2024-12-13T17:46:21.645Z
sensor.fteg,27.09,2024-12-13T17:46:22.701Z
sensor.fteg,11.92,2024-12-13T17:46:23.636Z
sensor.fteg,9.86,2024-12-13T17:46:24.918Z
sensor.fteg,10.55,2024-12-13T17:46:25.756Z
sensor.fteg,12.73,2024-12-13T17:46:26.977Z
sensor.fteg,18.16,2024-12-13T17:46:27.991Z
sensor.fteg,18.35,2024-12-13T17:46:29.237Z
sensor.fteg,17.29,2024-12-13T17:46:30.238Z
sensor.fteg,20.10,2024-12-13T17:46:31.415Z
sensor.fteg,24.65,2024-12-13T17:46:32.212Z
sensor.fteg,28.15,2024-12-13T17:46:33.321Z
sensor.fteg,29.83,2024-12-13T17:46:34.566Z
sensor.fteg,26.15,2024-12-13T17:46:35.393Z
sensor.fteg,28.02,2024-12-13T17:46:36.595Z
sensor.fteg,34.57,2024-12-13T17:46:37.535Z
sensor.fteg,37.13,2024-12-13T17:46:38.856Z
sensor.fteg,39.69,2024-12-13T17:46:40.069Z
sensor.fteg,36.26,2024-12-13T17:46:40.870Z
sensor.fteg,37.45,2024-12-13T17:46:42.131Z
sensor.fteg,30.58,2024-12-13T17:46:43.123Z
sensor.fteg,25.28,2024-12-13T17:46:44.235Z
sensor.fteg,21.78,2024-12-13T17:46:45.032Z
sensor.fteg,15.98,2024-12-13T17:46:46.095Z
sensor.fteg,10.48,2024-12-13T17:46:47.156Z
sensor.fteg,10.61,2024-12-13T17:46:48.282Z
sensor.fteg,11.17,2024-12-13T17:46:49.280Z
sensor.fteg,10.86,2024-12-13T17:46:50.519Z
sensor.fteg,9.86,2024-12-13T17:46:51.516Z
sensor.fteg,13.42,2024-12-13T17:46:52.513Z
sensor.fteg,14.17,2024-12-13T17:46:53.644Z
sensor.fteg,16.48,2024-12-13T17:46:54.639Z
sensor.fteg,14.54,2024-12-13T17:46:55.714Z
sensor.fteg,10.92,2024-12-13T17:46:56.755Z
sensor.fteg,9.67,2024-12-13T17:46:58.082Z
sensor.fteg,10.24,2024-12-13T17:46:59.115Z
sensor.fteg,13.67,2024-12-13T17:46:59.966Z
sensor.fteg,14.67,2024-12-13T17:47:01.367Z
sensor.fteg,13.42,2024-12-13T17:47:02.233Z
sensor.fteg,10.73,2024-12-13T17:47:03.400Z
sensor.fteg,10.80,2024-12-13T17:47:04.441Z
sensor.fteg,11.05,2024-12-13T17:47:05.441Z
sensor.fteg,10.30,2024-12-13T17:47:06.474Z
sensor.fteg,11.98,2024-12-13T17:47:07.928Z
sensor.fteg,17.22,2024-12-13T17:47:08.514Z
sensor.fteg,16.35,2024-12-13T17:47:09.831Z
sensor.fteg,26.52,2024-12-13T17:47:10.792Z
sensor.fteg,37.88,2024-12-13T17:47:12.175Z
sensor.fteg,45.50,2024-12-13T17:47:12.918Z
sensor.fteg,48.49,2024-12-13T17:47:14.113Z
sensor.fteg,50.43,2024-12-13T17:47:15.431Z
sensor.fteg,47.12,2024-12-13T17:47:16.010Z
sensor.fteg,46.31,2024-12-13T17:47:17.081Z
sensor.fteg,42.38,2024-12-13T17:47:18.141Z
sensor.fteg,41.50,2024-12-13T17:47:19.270Z
sensor.fteg,43.94,2024-12-13T17:47:20.406Z
sensor.fteg,37.13,2024-12-13T17:47:21.633Z
sensor.fteg,37.94,2024-12-13T17:47:22.440Z
sensor.fteg,35.14,2024-12-13T17:47:23.485Z
sensor.fteg,27.46,2024-12-13T17:47:24.602Z
sensor.fteg,19.41,2024-12-13T17:47:25.731Z
sensor.fteg,12.67,2024-12-13T17:47:26.679Z
sensor.fteg,10.48,2024-12-13T17:47:28.001Z
sensor.fteg,10.92,2024-12-13T17:47:28.838Z
sensor.fteg,15.29,2024-12-13T17:47:30.289Z
sensor.fteg,13.04,2024-12-13T17:47:30.951Z
sensor.fteg,12.73,2024-12-13T17:47:32.033Z
sensor.fteg,9.80,2024-12-13T17:47:33.108Z
sensor.fteg,10.48,2024-12-13T17:47:34.535Z
sensor.fteg,11.48,2024-12-13T17:47:35.365Z
sensor.fteg,22.16,2024-12-13T17:47:36.315Z
sensor.fteg,48.05,2024-12-13T17:47:37.758Z
sensor.fteg,83.81,2024-12-13T17:47:38.755Z
sensor.fteg,158.64,2024-12-13T17:47:39.519Z
sensor.fteg,180.74,2024-12-13T17:47:40.871Z
sensor.fteg,204.14,2024-12-13T17:47:41.710Z
sensor.fteg,241.40,2024-12-13T17:47:42.950Z
sensor.fteg,372.21,2024-12-13T17:47:43.955Z
sensor.fteg,420.70,2024-12-13T17:47:45.428Z
sensor.fteg,415.64,2024-12-13T17:47:46.375Z
sensor.fteg,389.31,2024-12-13T17:47:47.260Z
